Name,Country
Korsimoro,https://www.notion.so/Thailand-77bd0ddc429e4c31b6aa036eb30379d8
Finema,https://www.notion.so/Thailand-77bd0ddc429e4c31b6aa036eb30379d8
Affinidi,https://www.notion.so/Singapore-330eb4d76f884381bb9050328e2ffe7d
